Date,Open,High,Low,Close,Adj Close,Volume
2019-07-17,74.050003,74.050003,74.050003,74.050003,69.702744,0
2019-07-18,74.320000,74.320000,74.320000,74.320000,69.956886,0
2019-07-19,73.870003,73.870003,73.870003,73.870003,69.533295,0
2019-07-22,74.050003,74.050003,74.050003,74.050003,69.702744,0
2019-07-23,74.550003,74.550003,74.550003,74.550003,70.173378,0
2019-07-24,75.019997,75.019997,75.019997,75.019997,70.615799,0
2019-07-25,74.559998,74.559998,74.559998,74.559998,70.182785,0
2019-07-26,75.150002,75.150002,75.150002,75.150002,70.738152,0
2019-07-29,74.970001,74.970001,74.970001,74.970001,70.568726,0
2019-07-30,74.879997,74.879997,74.879997,74.879997,70.484024,0
2019-07-31,74.089996,74.089996,74.089996,74.089996,69.740387,0
2019-08-01,73.370003,73.370003,73.370003,73.370003,69.062660,0
2019-08-02,72.790001,72.790001,72.790001,72.790001,68.516716,0
2019-08-05,70.620003,70.620003,70.620003,70.620003,66.474106,0
2019-08-06,71.540001,71.540001,71.540001,71.540001,67.340103,0
2019-08-07,71.610001,71.610001,71.610001,71.610001,67.405975,0
2019-08-08,73.000000,73.000000,73.000000,73.000000,68.714394,0
2019-08-09,72.470001,72.470001,72.470001,72.470001,68.215477,0
2019-08-12,71.589996,71.589996,71.589996,71.589996,67.387154,0
2019-08-13,72.599998,72.599998,72.599998,72.599998,68.337837,0
2019-08-14,70.500000,70.500000,70.500000,70.500000,66.361137,0
2019-08-15,70.639999,70.639999,70.639999,70.639999,66.492920,0
2019-08-16,71.730003,71.730003,71.730003,71.730003,67.518951,0
2019-08-19,72.550003,72.550003,72.550003,72.550003,68.290802,0
2019-08-20,72.010002,72.010002,72.010002,72.010002,67.782501,0
2019-08-21,72.610001,72.610001,72.610001,72.610001,68.347260,0
2019-08-22,72.559998,72.559998,72.559998,72.559998,68.300209,0
2019-08-23,70.680000,70.680000,70.680000,70.680000,66.530579,0
2019-08-26,71.440002,71.440002,71.440002,71.440002,67.245964,0
